trial,domain_path,provider,model,give_pred_descriptions,desc_class,hde_runs,action_runs
10,data/domains/flow,openai,o4-mini,True,detailed-first,1,1
10,data/domains/flow,openai,o4-mini,True,first,3,1
10,data/domains/pathfinder,openai,o4-mini,True,detailed-first,0,0
10,data/domains/pathfinder,openai,o4-mini,True,first,0,0
10,data/domains/bookseller,openai,o4-mini,True,detailed-first,2,1
10,data/domains/bookseller,openai,o4-mini,True,first,0,5
10,data/domains/alchemy,openai,o4-mini,True,detailed-first,2,1
10,data/domains/alchemy,openai,o4-mini,True,first,2,1
10,data/domains/blocks,openai,gpt-4o-mini,True,detailed-first,2,1
10,data/domains/blocks,openai,gpt-4o-mini,True,first,3,1
10,data/domains/elevators,openai,gpt-4o-mini,True,detailed-first,1,1
10,data/domains/elevators,openai,gpt-4o-mini,True,first,1,1
10,data/domains/flow,openai,gpt-4o-mini,True,detailed-first,1,1
10,data/domains/flow,openai,gpt-4o-mini,True,first,2,1
10,data/domains/pathfinder,openai,gpt-4o-mini,True,detailed-first,0,5
10,data/domains/pathfinder,openai,gpt-4o-mini,True,first,2,1
10,data/domains/bookseller,openai,gpt-4o-mini,True,detailed-first,2,1
10,data/domains/bookseller,openai,gpt-4o-mini,True,first,1,1
10,data/domains/alchemy,openai,gpt-4o-mini,True,detailed-first,2,1
10,data/domains/alchemy,openai,gpt-4o-mini,True,first,1,1
